Município;AIDS - Ações Estratégicas;Acomp. Pac. Saúde Mental - Ações Estratégic. - SIA;Acomp. de paciente - Ações Estratégicas - SIA;Acomp. pós transplante - Ações Estratégicas;Acompanh. a def. auditivo - Ações Estratégicas;Aids - Ações Estratégicas - AIH;Angioplastia endovascular - SIH;Anvisa - Taxa de fiscalização;Apoio à população indígena;Assistência domiciliar - Ações Estratégicas SIA;Assistência pré-natal - AIH;CAPS I - Incent. Cust. Centros At. Psicossocial;Campanha de vacinação do idoso;Central de Regulação - Ações Estratégicas;Central de Regulação - Ações Estratétgicas - SIA;Câncer de colo uterino - Ações Estratégicas;Deformidade crânio-facial - Ações Estrategicas;Epidemiologia e controle de doenças;Epidemiologia e controle de doenças (adicional);Epilepsia - SIH;Farmácia básica;Financ aos Centros de Referência Saúde Trabalhador;Fisioterapia -  - Ações Estratégicas SIA;Gastroplastia - Ações Estratégicas;Geriatria - Ações Estratégicas - AIH;Gestão plena do sistema estadual (NOAS);Gestão plena sistema municipal - média complex;Inc. Apoio Lab. Monitoramento do AEDES AEGYPTI;Inc. Fortalecimento Gestão de Vigilância em Saúde;Inc. Hosp. Subsist. Vig. Ep. en Âmbito Hospitalar;Incent. Prog. Nacional de HIV/AIDS e outras DST;Incentivo Adicional ao CEO;Incentivo CNRAC - Ações Estratégicas - SIA;Incentivo Estabelecimento de Parcerias com as OSC;Incentivo a ações básicas vigilância sanitária;Incentivo fortalec lab centr saúde pública - LACEN;Incentivo para Casa de Apoio HIV/AIDS;Incentivo à Farmácia Popular do Brasil;Incentivo à Saúde no Sistema Penitenciário;Incentivo à saúde bucal;Leucemia mielóide - SIA;MAC vigilância sanitária;Medicamentos dos Grupos AR 0,95;Medicamentos dos Grupos HD 1,15;Medicamentos excepcionais pacientes crônicos;Medicamentos para saúde mental;Multirão de Cirurgias Eletivas Média Complexidade;Neonatal - Ações Estratégicas- SIA;Neurocirurgia - SIH;Ortodontia - Ações Estratégicas;Osteogenesis Imperfecta - AIH;Patologia clínica - Ações Estratégicas SIA;Piso de atenção básica - fixo;Programa Farmácia Popular do Brasil;Programa agentes comunitários de saúde;Programa de Especialidade Odontológica;Programa de Saúde da Família;Pré-natal - Ações Estratégicas;Prótese Dentária - Ações Estratégicas - SIA;Psicodiagnóstico - Ações Estratégicas SIA;Queimados - Ações Estratégicas;Reabilitação - Ações Estratégicas;Registro Civil e Nascimento - AIH;Registro de Câncer de Base Populacional - RCBP;Serviços Atendimento Móvel de Urgências - SAMU;Terapia e psicoterapia - Ações Estratégicas SIA;Terapia renal substitutiva - SIA;Transplantes - Ações Estratégicas;Tuberculose - Ações Estratégicas;Total
350420 Auriflama;-;-;-;-;-;-;-;116,52;-;-;-;-;244,46;-;-;-;-;2506,22;506,74;-;1889,66;-;-;-;-;-;-;-;-;-;-;-;-;-;291,29;-;-;-;-;-;-;116,52;1100,18;1331,8;-;-;-;-;-;-;-;-;15147,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23250,56
350430 Avaí;-;-;-;-;-;-;-;-;-;-;-;-;90,1;-;-;-;-;628,92;-;-;629,89;-;-;-;-;-;-;-;-;-;-;-;-;-;95,13;-;-;-;-;-;-;-;361,87;438,05;-;-;-;-;-;-;-;-;4946,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7190,46
350440 Avanhandava;-;-;-;-;-;-;-;-;-;-;-;-;133,51;-;-;73;-;1651,34;331,09;-;1250,29;-;118;-;-;-;12635,71;-;-;-;-;-;-;-;195,1;-;-;-;-;-;-;-;733,72;888,18;-;-;-;-;-;-;-;-;10145,42;-;6300;-;16200;90;-;-;-;-;-;-;-;-;-;-;-;50745,36
350450 Avaré;-;-;-;-;-;110;-;717,52;-;-;1760;-;1317,85;-;-;8873,11;-;10440,57;-;-;11165,96;30000;330,4;-;-;-;416829,56;-;-;-;25000;-;-;-;1793,79;-;-;-;-;6800;-;861,02;6678,34;8084,31;-;-;-;-;-;-;-;-;93305,33;-;9100;8800;21600;2210;-;-;-;-;-;-;-;1499,4;-;-;256,2;667533,36
350460 Bady Bassitt;-;-;-;-;-;-;-;126,7;-;-;-;-;222,66;-;-;-;-;2339,99;-;-;1835,21;-;-;-;-;-;-;-;-;-;-;-;-;-;316,75;-;-;-;-;-;-;126,7;1151,32;1393,7;-;-;-;-;-;-;-;-;16471;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23984,03
350470 Balbinos;-;-;-;-;-;-;-;-;-;-;-;-;90,09;-;-;-;-;178,12;-;-;184,39;-;-;-;-;-;-;-;-;-;-;-;-;-;28,56;-;-;-;-;-;-;-;107,67;130,33;-;-;-;-;-;-;-;-;1485,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2204,41
350480 Bálsamo;-;-;-;-;-;-;-;64,13;-;-;-;-;151,01;-;-;-;-;1367,57;-;-;1033,31;-;-;-;-;-;-;-;-;-;-;-;-;-;160,33;-;-;-;-;-;-;64,13;604,2;731,4;-;-;-;-;-;-;-;-;8337,33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12513,41
350490 Bananal;-;-;-;-;-;-;-;-;-;-;-;-;174,15;-;-;52;-;1321,31;-;-;1362,63;-;16,52;-;-;-;90340,98;-;-;-;-;-;-;-;210,69;-;-;-;-;1700;-;-;794,91;962,26;-;-;-;-;-;-;-;-;10955,75;-;3850;-;10800;-;-;-;-;-;-;-;-;-;-;-;-;122541,2
350500 Barão de Antonina;-;-;-;-;-;-;-;-;-;-;-;-;90,1;-;-;-;-;365,65;-;-;374,28;-;-;-;-;-;-;-;-;-;-;-;-;-;55,15;-;-;-;-;1700;-;-;211,69;256,26;-;-;-;-;-;-;-;-;2867,58;-;2100;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;13420,71
350510 Barbosa;-;-;-;-;-;-;-;51,03;-;-;-;-;98,35;-;-;-;-;783,3;-;-;821,98;-;-;-;-;-;-;-;-;-;-;-;-;-;127,58;-;-;-;-;-;-;51,03;480,7;581,9;-;-;-;-;-;-;-;-;7573,35;-;2100;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;18069,22
350520 Bariri;-;-;-;-;-;-;-;254,43;-;-;-;-;639,64;-;-;-;-;3798,83;-;-;4036,73;-;-;-;-;-;-;-;-;-;-;-;-;-;636,06;-;-;-;-;1700;-;254,43;2383,95;2885,83;-;-;-;-;-;-;-;-;33075,25;-;4200;-;10800;-;-;-;-;-;-;-;-;-;-;-;-;64665,15
350530 Barra Bonita;-;-;-;-;-;-;-;319,98;-;-;-;-;586,09;-;-;-;-;6684,02;-;-;5076,23;-;-;-;-;-;-;-;-;-;-;-;-;-;799,96;-;-;-;-;-;-;319,98;2998,12;3629,3;-;-;-;-;-;-;-;-;41597,83;-;2800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64811,51
350535 Barra do Chapéu;-;-;-;-;-;-;-;40,2;-;-;-;-;90,1;-;-;-;-;651,04;-;-;663,3;-;-;-;-;-;-;-;-;-;-;-;-;-;100,04;-;-;-;-;2550;-;40,2;380,79;460,96;-;-;-;-;-;-;-;-;5202,17;-;4200;-;16200;-;-;-;-;-;-;-;-;-;-;-;-;30578,8
350540 Barra do Turvo;-;-;-;-;-;-;-;-;-;-;-;-;120,3;-;-;-;-;1149,07;-;-;1156,51;-;-;-;-;-;-;-;-;-;-;-;-;-;181,75;-;-;-;-;-;-;-;681,86;825,41;-;-;-;-;-;-;-;-;9451;-;5950;-;32400;-;-;-;-;-;-;-;-;-;-;-;-;51915,9
350550 Barretos;-;10843,05;-;-;-;-;4330;910,32;-;259,35;3680;-;1861,67;-;-;6303,4;-;19377,5;-;-;14648,01;-;479,08;-;-;-;867787,07;-;-;-;20456,83;-;-;-;2275,79;-;-;-;-;-;-;1092,38;8571,61;10376,16;-;-;-;-;-;-;-;-;118341,17;-;10850;-;42400;560;-;-;-;-;155;-;-;3716,11;-;-;-;1149274,5
350560 Barrinha;-;-;-;-;-;-;-;229,68;-;-;-;-;259,45;-;-;164;-;4643,95;-;-;3555,2;-;394,12;-;-;-;50736,22;-;-;-;-;-;-;-;574,19;-;-;-;-;-;-;275,61;2133,86;2583,09;-;-;-;-;-;-;-;-;29857,75;-;12950;-;5400;200;-;-;-;-;-;-;-;284,52;-;-;-;114241,64
350570 Barueri;-;21223,3;-;-;-;-;-;2140,2;-;450,3;5320;-;1772,66;-;-;17011,52;-;38498,21;-;-;31920,63;-;356,36;-;-;-;831303,77;-;-;-;19131,33;-;-;-;5350,5;-;-;-;-;-;-;2568,24;19636,03;23769,93;-;-;-;215,5;-;-;-;-;278226;-;26600;-;54000;5070;-;-;-;-;1040;-;-;8075,85;-;-;1457,4;1395137,73
350580 Bastos;-;-;-;-;-;-;-;179,25;-;-;-;-;308,25;-;-;-;-;2727,19;772,05;-;2893,14;-;-;-;-;-;-;-;-;-;-;-;-;-;448,13;-;-;-;-;3400;-;215,1;1689,65;2045,37;-;-;-;-;-;-;-;-;23302,5;-;9450;-;16200;-;-;-;-;-;-;-;-;-;-;-;-;63630,63
350590 Batatais;-;-;10612;-;-;-;-;462,51;-;182,4;1320;-;940,18;-;-;238;-;9639,37;-;-;7324,63;-;14,16;-;-;-;189592,12;-;-;-;25000;-;-;-;1156,27;-;-;-;-;6800;-;555,01;4330,89;5242,66;-;-;-;-;-;-;-;-;60126,08;-;25900;-;21600;1130;870;219,2;-;21602;-;-;-;2161,86;-;-;100,8;397120,14
350600 Bauru;-;-;-;-;-;-;-;2920,77;-;-;-;-;5497,63;-;-;-;-;60055,53;17383,52;-;45786,54;30000;-;-;-;-;-;-;-;-;26974,5;50000;-;-;7301,92;-;2400;-;-;-;-;2920,77;27253,76;32991,39;-;-;-;-;-;-;-;-;379699,67;-;11200;-;5400;-;-;-;-;-;-;-;84000;-;-;-;-;791786
350610 Bebedouro;-;-;10556;-;-;20;-;660,28;-;-;1600;-;1255,1;-;-;288;-;13988,25;-;-;10585,71;-;259,6;-;-;-;330537,8;-;-;-;19131,33;-;-;-;1650,69;-;-;-;-;16150;-;792,33;6209,28;7516,5;-;-;-;28,5;-;-;-;-;86132,58;-;23100;-;62100;1220;-;-;-;-;-;-;-;2763,12;-;-;58,8;596603,87
350620 Bento de Abreu;-;-;-;-;-;-;-;19,94;-;-;-;-;90,09;-;-;-;-;330,53;89,78;-;329,04;-;-;-;-;-;-;-;-;-;-;-;-;-;49,83;-;-;-;-;1700;-;19,94;189,37;229,23;-;-;-;-;-;-;-;-;2738,84;-;1750;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;12936,59
350630 Bernardino de Campos;-;-;-;-;-;-;-;92,83;-;-;-;-;240,9;-;-;-;-;1426,47;-;-;1502,46;-;-;-;-;-;-;-;-;-;-;-;-;-;232,08;-;-;-;-;-;-;92,83;875,9;1060,3;-;-;-;-;-;-;-;-;12068,33;-;4200;-;10800;-;-;-;-;-;-;-;-;-;-;-;-;32592,1
350635 Bertioga;-;-;-;-;-;-;-;-;-;-;680;-;367,59;-;-;2372,3;-;4458,63;-;-;4916,86;-;320,96;-;-;-;134379,25;-;-;-;-;-;-;-;868,17;-;-;-;-;-;-;-;3132,23;3791,65;-;-;-;99,5;-;-;-;-;45144,67;-;-;-;-;320;-;-;-;3391,5;-;-;-;900,15;-;-;222,6;205366,06
350640 Bilac;-;-;-;-;-;-;-;-;-;-;-;-;133,95;-;-;-;-;1140,13;228,3;-;863,64;-;-;-;-;-;-;-;-;-;-;-;-;-;135,02;-;-;-;-;-;-;-;507,46;614,29;-;-;-;-;-;-;-;-;8689,94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12312,73
350650 Birigui;-;-;-;-;-;-;-;885,94;-;-;-;-;1539,18;-;-;-;-;18025,66;3536,25;-;13778,46;-;-;-;-;-;-;-;-;-;-;-;-;-;2214,85;-;-;-;-;-;-;885,94;8244,26;9979,89;-;-;-;-;-;-;-;-;115183,25;-;12250;-;-;-;-;-;-;-;-;-;-;-;-;-;-;186523,68
350660 Biritiba-Mirim;-;-;-;-;-;-;-;-;-;-;-;-;364,03;-;-;106;-;4436,71;-;-;3678,68;-;108,56;-;-;-;94449,45;-;-;-;-;-;-;-;602,63;-;-;-;-;-;-;-;2228,7;2697,9;-;-;-;19,5;-;-;-;-;31336,5;-;2800;-;10800;-;-;-;-;-;-;-;-;-;-;-;8,4;153637,06
350670 Boa Esperança do Sul;-;-;-;-;-;-;-;-;-;-;-;-;183,2;-;-;-;-;2380;-;-;1811,7;-;-;-;-;-;-;-;-;-;-;-;-;-;287,5;-;-;-;-;-;-;-;1074,93;1301,22;-;-;-;-;-;-;-;-;14950;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21988,55
350680 Bocaina;-;-;-;-;-;-;-;90,11;-;-;-;-;194,62;-;-;-;-;1309,6;-;-;1390,95;-;-;-;-;-;-;-;-;-;-;-;-;-;225,27;-;-;-;-;-;-;90,11;836,4;1012,48;-;-;-;-;-;-;-;-;11714,08;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16863,62
350690 Bofete;-;-;-;-;-;-;-;70,13;-;-;-;-;136,62;-;-;-;-;1042,35;-;-;1083,09;-;-;-;-;-;-;-;-;-;-;-;-;-;175,31;-;-;-;-;-;-;70,13;650,99;788,04;-;-;-;-;-;-;-;-;9116,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13132,91
350700 Boituva;-;-;-;-;-;-;-;345,02;-;5,7;-;-;525,42;-;-;97;-;4790,06;-;-;5201,21;-;351,64;-;-;-;113646,24;-;-;-;-;-;-;-;862,54;-;-;-;-;-;-;345,02;3176,88;3845,7;-;-;-;-;-;-;-;-;44852,17;-;-;-;-;420;-;-;-;-;-;-;-;560,31;-;-;-;179024,91
350710 Bom Jesus dos Perdões;-;-;-;-;-;-;-;129;-;-;-;-;199,52;-;-;-;-;1833,07;-;-;1977,11;-;-;-;-;-;-;-;-;-;-;-;-;-;322,5;-;-;-;-;-;-;129;1194,47;1445,93;-;-;-;-;-;-;-;-;16770;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24000,6
350715 Bom Sucesso de Itararé;-;-;-;-;-;-;-;-;-;-;-;-;90,09;-;-;-;-;453,75;-;-;482,49;-;-;-;-;-;-;-;-;-;-;-;-;-;79,1;-;-;-;-;-;-;-;292,52;354,1;-;-;-;-;-;-;-;-;4113,42;-;2100;-;8100;-;-;-;-;-;-;-;-;-;-;-;-;16065,47
350720 Borá;-;-;-;-;-;-;-;-;-;-;-;-;90,09;-;-;-;-;111,4;-;-;111,24;-;-;-;-;-;-;-;-;-;-;-;-;-;17,15;-;-;-;-;-;-;-;64,76;78,39;-;-;-;-;-;-;-;-;1115,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1588,2
350730 Boracéia;-;-;-;-;-;-;-;-;-;-;-;-;90,1;-;-;-;-;500,77;-;-;525,94;-;-;-;-;-;-;-;-;-;-;-;-;-;81,54;-;-;-;-;1700;-;-;307,33;372,03;-;-;-;-;-;-;-;-;5606,81;-;1750;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;16334,52
350740 Borborema;-;-;-;-;-;-;-;115,6;-;-;-;-;264,64;-;-;-;-;2460,11;-;-;1859,96;-;-;-;-;-;-;-;-;-;-;-;-;-;289;-;-;-;-;-;-;115,6;1088,46;1317,61;-;-;-;-;-;-;-;-;15028;-;6650;-;16200;-;-;-;-;-;-;-;-;-;-;-;-;45388,98
350745 Borebi;-;-;-;-;-;-;-;18,88;-;-;-;-;90,09;-;-;-;-;287,71;-;-;288,2;-;-;-;-;-;-;-;-;-;-;-;-;-;47,19;-;-;-;-;1700;-;18,88;174,56;211,31;-;-;-;-;-;-;-;-;3121,93;-;1750;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;13108,75
350750 Botucatu;-;-;-;-;-;-;-;994,15;-;-;-;-;2016,68;-;-;-;-;20530,11;-;-;15635,26;30000;-;-;-;-;-;-;-;-;25000;-;-;-;2485,38;-;-;-;-;3400;-;994,15;9286,88;11242,02;-;-;-;-;-;-;-;-;129239,5;10000;22400;8800;74000;-;-;-;-;-;-;-;-;-;-;-;-;366024,13
350760 Bragança Paulista;-;-;-;-;-;-;-;1327,79;-;-;1360;-;2135,65;-;-;477;-;16969,09;-;-;18257,11;-;-;-;-;-;359357,62;-;-;-;-;-;-;-;2933,1;-;-;-;-;-;-;1407,89;10919,85;13218,77;-;-;-;-;-;-;-;-;152521,42;-;23450;-;59400;1510;-;205,5;-;-;-;-;-;3714,94;-;-;42;669207,73
350770 Braúna;-;-;-;-;-;-;-;37,15;-;-;-;-;94,64;-;-;-;-;583,23;-;-;607,75;-;-;-;-;-;-;-;-;-;-;-;-;-;92,88;-;-;-;-;1700;-;37,15;351,82;425,88;-;-;-;-;-;-;-;-;4829,5;-;3850;-;10800;-;-;-;-;-;-;-;-;-;-;-;-;23410
350775 Brejo Alegre;-;-;-;-;-;-;-;-;-;-;-;-;90,09;-;-;-;-;309,97;-;-;331,38;-;-;-;-;-;-;-;-;-;-;-;-;-;52,4;-;-;-;-;2550;-;-;196,1;237,38;-;-;-;-;-;-;-;-;2727,83;-;2100;-;8100;-;-;-;-;-;-;-;-;-;-;-;-;16695,15
350780 Brodowski;-;-;-;-;-;-;-;160,32;-;-;-;-;303,65;-;-;264,74;-;2337,72;-;-;2498,51;-;2,36;-;-;-;27375,36;-;-;-;-;-;-;-;400,79;-;-;-;-;-;-;192,38;1492,93;1807,23;-;-;-;-;-;-;-;-;20841,17;-;-;-;-;220;-;-;-;-;-;-;-;1532,55;-;-;-;59429,71
350790 Brotas;-;-;-;-;-;-;-;180,79;-;-;-;-;379,9;-;-;-;-;2643,94;-;-;2786,71;-;-;-;-;-;-;-;-;-;-;-;-;-;451,98;-;-;-;-;-;-;180,79;1677,3;2030,42;-;-;-;-;-;-;-;-;23502,92;-;1400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35234,75
350800 Buri;-;-;-;-;-;-;-;164,16;-;-;680;-;238,09;-;-;26;-;2455,64;-;-;2563,96;-;-;-;-;-;62976,73;-;-;-;-;-;-;-;410,4;-;-;-;-;5100;-;196,99;1529,82;1851,88;-;-;-;-;-;-;-;-;21340,58;-;8400;-;16200;480;-;21,92;-;-;-;-;-;921,2;-;-;-;125557,37
350810 Buritama;-;-;79453,58;-;-;-;-;121,13;-;-;200;-;238,83;-;-;9;-;2582,01;519,53;-;1950,99;-;23,6;-;-;-;127113,7;-;-;-;-;-;-;-;302,83;-;-;-;-;3400;-;121,13;1140,95;1381,15;-;-;-;-;-;-;-;-;15747,33;-;9450;-;21600;20;-;-;-;-;-;-;-;-;-;-;-;265375,76
350820 Buritizal;-;-;-;-;-;-;-;30,3;-;-;-;-;90,1;-;-;-;-;493,26;-;-;499,95;-;-;-;-;-;-;-;-;-;-;-;-;-;74,94;-;-;-;-;-;-;30,3;285,87;346,05;-;-;-;-;-;-;-;-;3902,75;-;1750;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;12903,52
350830 Cabrália Paulista;-;-;-;-;-;-;-;-;-;-;-;-;90,1;-;-;-;-;640,69;-;-;673,89;-;-;-;-;-;-;-;-;-;-;-;-;-;107,35;-;-;-;-;-;-;-;400,82;485,2;-;-;-;-;-;-;-;-;5913,07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8311,12
350840 Cabreúva;-;-;-;-;-;-;-;350,42;-;-;-;-;395,47;-;-;-;-;4711,76;-;-;5156,39;-;-;-;-;-;-;-;-;-;-;-;-;-;876,04;-;-;-;-;-;-;350,42;3200,71;3874,54;-;-;-;-;-;-;-;-;45554,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64469,92
350850 Caçapava;-;-;-;-;-;20;-;687;-;-;1600;-;1013,61;-;-;224;-;10194,28;-;-;10894,54;-;84,96;-;-;-;311113,32;-;-;-;20406,75;-;-;-;1717,5;-;-;-;-;-;-;687;6436,09;7791,06;-;-;7137,75;-;-;-;-;-;89310;-;10500;-;27000;570;-;68,5;-;-;-;-;-;1804,35;-;-;42;509302,71
350860 Cachoeira Paulista;-;-;-;-;-;330;-;247,56;-;-;520;-;446,8;-;-;92;-;3662,68;-;-;3909,81;-;346,92;-;-;-;90812,4;-;-;-;-;-;-;-;618,9;-;-;-;-;3400;-;247,56;2315,94;2803,51;-;-;-;-;-;-;-;-;32182,58;-;11900;-;27000;570;-;-;-;-;90;-;-;333,36;-;-;12,6;181842,62
350870 Caconde;-;-;-;-;-;-;-;158,87;-;-;-;-;314,33;-;-;-;-;2447,69;-;-;2573,31;-;-;-;-;-;-;-;-;-;-;-;-;-;397,17;-;-;-;-;-;-;158,87;1499,42;1815,08;-;-;-;-;-;-;-;-;20652,67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30017,41
350880 Cafelândia;-;-;-;-;-;-;-;134,41;-;-;-;-;305,28;-;-;-;-;2915,8;-;-;2194,23;-;-;-;-;-;-;-;-;-;-;-;-;-;336,02;-;-;-;-;3400;-;134,41;1272,05;1539,85;-;-;-;-;-;-;-;-;17487,17;-;3500;-;10800;-;-;-;-;-;-;-;-;-;-;-;-;44019,22
350890 Caiabu;-;-;-;-;-;-;-;-;-;-;-;-;90,1;-;-;-;-;553,41;-;-;570,08;-;-;-;-;-;-;-;-;-;-;-;-;-;87,85;-;-;-;-;-;-;-;331,79;401,64;-;-;-;-;-;-;-;-;4568,42;-;3500;-;10800;-;-;-;-;-;-;-;-;-;-;-;-;20903,29
350900 Caieiras;-;-;-;-;-;-;-;-;-;-;-;-;790,5;-;-;33;-;13453,39;-;-;11154,83;-;148,68;-;-;-;146575,64;-;-;-;-;-;-;-;1903,44;-;-;-;-;-;-;-;6944,26;8406,21;-;-;-;29,5;-;-;-;-;98978,75;-;-;-;-;-;-;493,2;-;-;-;-;-;2529,99;-;-;-;291441,39
350910 Caiuá;-;-;-;-;-;-;-;39,38;-;-;-;-;90,1;-;-;-;-;610,09;-;-;612,43;-;-;-;-;-;-;-;-;-;-;-;-;-;98,44;-;-;-;-;4250;-;39,38;366,46;443,61;-;-;-;-;-;-;-;-;6051,5;-;3850;-;13500;-;-;-;-;-;-;-;-;-;-;-;-;29951,39
350920 Cajamar;-;-;-;-;-;50;-;511,89;-;-;-;-;492,49;-;-;446;-;9287,66;-;-;7700,83;-;141,6;-;-;-;428332,25;-;-;-;-;-;-;-;1279,73;-;-;-;-;6800;-;614,27;4710,1;5701,7;-;-;-;50;-;-;-;-;66545,92;-;14700;-;37800;-;-;153,44;-;-;180;-;-;2192,21;-;-;-;587690,09
350925 Cajati;-;-;-;-;-;-;-;-;-;-;-;-;366,84;-;-;-;-;3979,82;-;-;4255,21;-;-;-;-;-;-;-;-;-;-;-;-;-;681,75;-;-;-;-;-;-;-;2540,54;3075,39;-;-;-;-;-;-;-;-;35451;-;6650;-;16200;-;-;-;-;-;-;-;-;-;-;-;-;73200,55
350930 Cajobi;-;-;-;-;-;-;-;78,63;-;5,7;400;-;154,27;-;-;58;-;1699,23;-;-;1279,16;-;165,2;-;-;-;36960,08;-;-;-;-;-;-;-;196,58;-;-;-;-;-;-;94,36;743,22;899,68;-;-;-;5,5;-;-;-;-;10222,33;-;2100;-;5400;290;-;-;-;-;-;-;-;1058,93;-;-;-;61810,87
350940 Cajuru;-;-;-;-;-;10;-;184,73;-;-;-;-;351,42;-;-;280;-;3893,61;-;-;2950,89;-;-;-;-;-;131823,35;-;-;-;-;-;-;-;461,83;-;-;-;-;6800;-;221,68;1735,1;2100,38;-;-;-;-;-;-;-;-;30351,69;-;11200;-;27000;150;-;-;209,93;-;-;-;-;1042,95;-;-;42;220809,56
350945 Campina do Monte Alegre;-;-;-;-;-;-;-;-;-;-;-;-;99,39;-;-;-;-;723,85;-;-;771,38;-;-;-;-;-;-;-;-;-;-;-;-;-;125,5;-;-;-;-;-;-;-;465,18;563,12;-;-;-;-;-;-;-;-;6526;-;4200;-;10800;-;-;-;-;-;-;-;-;-;-;-;-;24274,42
350950 Campinas;-;166800,2;29204;-;-;520;-;8714,22;-;2895,6;2440;-;15004,89;-;-;6257,01;-;182391,41;26658,39;-;138451,23;30000;1503,32;-;-;-;6352731,62;-;122010;3000;40470,25;-;-;-;21785,54;-;40750;-;-;106800;91966,5;10457,06;81691,05;98889,17;-;-;85990,58;-;-;-;-;-;1132848,17;-;197050;6600;610200;6090;-;38,36;-;-;1575;-;199000;16708,74;361526,32;-;2604;10201622,63
350960 Campo Limpo Paulista;-;-;-;-;-;-;-;626,77;-;79,8;1640;-;768,85;-;-;333;-;8809,83;-;-;9538,79;-;11,8;-;-;-;192231,1;-;-;-;25000;-;-;-;1566,92;-;-;-;-;-;-;752,12;5789,62;7008,48;-;-;-;29;-;-;-;-;81479,67;-;8050;-;10800;830;-;156,18;-;-;-;-;-;609,04;-;-;-;356110,97
350970 Campos do Jordão;-;-;-;-;-;-;-;-;-;-;-;-;501,98;-;-;-;-;5981,14;-;-;6386,05;-;-;-;-;-;-;-;-;-;25000;50000;-;-;1014,81;-;-;-;-;8500;-;-;3792,32;4590,7;-;-;-;-;-;-;-;-;52770,25;-;23800;-;59400;-;-;-;-;-;-;-;-;-;-;-;-;241737,25
350980 Campos Novos Paulista;-;-;-;-;-;-;-;35,71;-;-;-;-;90,1;-;-;-;-;576,13;-;-;581,9;-;-;-;-;-;-;-;-;-;-;-;-;-;89,27;-;-;-;-;3400;-;35,71;337,73;408,83;-;-;-;-;-;-;-;-;4642,08;-;3850;-;10800;-;-;-;-;-;-;-;-;-;-;-;-;24847,46
350990 Cananéia;-;-;-;-;-;-;-;-;-;-;-;-;191,95;-;-;-;-;1772,86;-;-;1799,74;-;-;-;-;-;-;-;-;-;-;-;-;-;289,71;-;-;-;-;-;-;-;1077,85;1304,77;-;-;-;-;-;-;-;-;15064,83;-;4200;-;10800;-;-;-;-;-;-;-;-;-;-;-;-;36501,71
350995 Canas;-;-;-;-;-;-;-;-;-;-;-;-;90,1;-;-;-;-;488,49;-;-;526,35;-;-;-;-;-;-;-;-;-;-;-;-;-;84,35;-;-;-;-;1700;-;-;314,29;380,46;-;-;-;-;-;-;-;-;4386,42;-;2100;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;15470,46
351000 Cândido Mota;-;13525,95;-;-;-;-;-;264;-;-;-;-;526,01;-;-;350;-;5515,49;-;-;4188,25;-;-;-;-;-;115443,67;-;-;-;-;-;-;-;660;-;-;-;-;10400;-;316,8;2473,56;2994,31;-;-;-;-;-;-;-;-;34320;-;3500;-;20800;1060;-;-;-;-;-;-;-;1575,78;-;-;-;217913,82
351010 Cândido Rodrigues;-;-;-;-;-;-;-;-;-;-;-;-;90,1;-;-;-;-;347,49;-;-;371,39;-;-;-;-;-;-;-;-;-;-;-;-;-;58,17;-;-;-;-;-;-;-;218,42;264,4;-;-;-;-;-;-;-;-;3785,49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5135,46
351015 Canitar;-;-;-;-;-;-;-;34,45;-;-;-;-;90,1;-;-;-;-;484,78;-;-;522,78;-;-;-;-;-;-;-;-;-;-;-;-;-;86,13;-;-;-;-;1700;-;34,45;317,93;384,87;-;-;-;-;-;-;-;-;4478,5;-;2100;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;15633,99
351020 Capão Bonito;-;-;-;-;-;-;-;390,95;-;-;-;-;581,79;-;-;-;-;6182,42;-;-;6437,89;-;-;-;-;-;-;-;-;-;-;-;-;-;977,38;-;-;-;-;-;-;390,95;3711,41;4492,76;-;-;-;-;-;-;-;-;50823,5;-;23800;-;37800;-;-;-;-;-;-;-;-;-;-;-;-;135589,05
