Município;AIDS - Ações Estratégicas;Acomp. Pac. Saúde Mental - Ações Estratégic. - SIA;Acomp. de paciente - Ações Estratégicas - SIA;Acomp. pós transplante - Ações Estratégicas;Acompanh. a def. auditivo - Ações Estratégicas;Aids - Ações Estratégicas - AIH;Angioplastia endovascular - SIH;Anvisa - Taxa de fiscalização;Apoio à população indígena;Assistência domiciliar - Ações Estratégicas SIA;Assistência pré-natal - AIH;CAPS I - Incent. Cust. Centros At. Psicossocial;Campanha de vacinação do idoso;Central de Regulação - Ações Estratégicas;Central de Regulação - Ações Estratétgicas - SIA;Câncer de colo uterino - Ações Estratégicas;Deformidade crânio-facial - Ações Estrategicas;Epidemiologia e controle de doenças;Epidemiologia e controle de doenças (adicional);Epilepsia - SIH;Farmácia básica;Financ aos Centros de Referência Saúde Trabalhador;Fisioterapia -  - Ações Estratégicas SIA;Gastroplastia - Ações Estratégicas;Geriatria - Ações Estratégicas - AIH;Gestão plena do sistema estadual (NOAS);Gestão plena sistema municipal - média complex;Inc. Apoio Lab. Monitoramento do AEDES AEGYPTI;Inc. Fortalecimento Gestão de Vigilância em Saúde;Inc. Hosp. Subsist. Vig. Ep. en Âmbito Hospitalar;Incent. Prog. Nacional de HIV/AIDS e outras DST;Incentivo Adicional ao CEO;Incentivo CNRAC - Ações Estratégicas - SIA;Incentivo Estabelecimento de Parcerias com as OSC;Incentivo a ações básicas vigilância sanitária;Incentivo fortalec lab centr saúde pública - LACEN;Incentivo para Casa de Apoio HIV/AIDS;Incentivo à Farmácia Popular do Brasil;Incentivo à Saúde no Sistema Penitenciário;Incentivo à saúde bucal;Leucemia mielóide - SIA;MAC vigilância sanitária;Medicamentos dos Grupos AR 0,95;Medicamentos dos Grupos HD 1,15;Medicamentos excepcionais pacientes crônicos;Medicamentos para saúde mental;Multirão de Cirurgias Eletivas Média Complexidade;Neonatal - Ações Estratégicas- SIA;Neurocirurgia - SIH;Ortodontia - Ações Estratégicas;Osteogenesis Imperfecta - AIH;Patologia clínica - Ações Estratégicas SIA;Piso de atenção básica - fixo;Programa Farmácia Popular do Brasil;Programa agentes comunitários de saúde;Programa de Especialidade Odontológica;Programa de Saúde da Família;Pré-natal - Ações Estratégicas;Prótese Dentária - Ações Estratégicas - SIA;Psicodiagnóstico - Ações Estratégicas SIA;Queimados - Ações Estratégicas;Reabilitação - Ações Estratégicas;Registro Civil e Nascimento - AIH;Registro de Câncer de Base Populacional - RCBP;Serviços Atendimento Móvel de Urgências - SAMU;Terapia e psicoterapia - Ações Estratégicas SIA;Terapia renal substitutiva - SIA;Transplantes - Ações Estratégicas;Tuberculose - Ações Estratégicas;Total
350090 Altair;-;-;-;-;-;-;-;30,93;-;-;-;-;90,1;-;-;-;-;658,42;-;-;497,75;-;-;-;-;-;-;-;-;-;-;-;-;-;77,33;-;-;-;-;1700;-;30,93;291,25;352,57;-;-;-;-;-;-;-;-;4021,33;-;2100;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;15250,61
350100 Altinópolis;-;-;-;-;-;-;-;138,61;-;-;320;-;275,76;-;-;105;-;2124,8;-;-;2206,6;-;472;-;-;-;78986,55;-;-;-;-;-;-;-;346,52;-;-;-;-;8500;-;166,33;1300,31;1574,06;-;-;-;-;-;-;-;-;22246,64;-;8750;-;27000;120;-;-;-;-;-;-;-;247,35;-;-;-;154880,53
350110 Alto Alegre;-;-;-;-;-;-;-;34,08;-;-;-;-;90,1;-;-;-;-;760,82;-;-;563,61;-;-;-;-;-;-;-;-;-;-;-;-;-;81,9;-;-;-;-;1700;-;34,08;315,95;382,47;-;-;-;-;-;-;-;-;4258,58;-;3500;-;10800;-;-;-;-;-;-;-;-;-;-;-;-;22521,59
350115 Alumínio;-;-;-;-;-;-;-;134,91;-;-;-;-;153,38;-;-;-;-;2029,49;-;-;2160,54;-;-;-;-;-;-;-;-;-;-;-;-;-;337,27;-;-;-;-;-;-;134,91;1268,17;1535,15;-;-;-;-;-;-;-;-;17538,08;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25291,9
350120 Álvares Florence;-;-;-;-;-;-;-;34,08;-;-;-;-;90,1;-;-;-;-;763,16;-;-;562,38;-;-;-;-;-;-;-;-;-;-;-;-;-;80,33;-;-;-;-;-;-;34,08;311,84;377,49;-;-;-;-;-;-;-;-;4177,33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6430,79
350130 Álvares Machado;-;-;-;-;-;-;-;208,66;-;-;-;-;369,96;-;-;-;-;4301,28;-;-;3276,63;-;-;-;-;-;-;-;-;-;-;-;-;-;521,65;-;-;-;-;8500;-;208,66;1948,21;2358,36;-;-;-;-;-;-;-;-;27125,58;-;14000;-;27000;-;-;-;-;-;-;-;-;-;-;-;-;89818,99
350140 Álvaro de Carvalho;-;-;-;-;-;-;-;39,33;-;-;-;-;90,1;-;-;-;-;789,97;-;-;606,38;-;-;-;-;-;-;-;-;-;-;-;-;-;98,33;-;-;-;-;3400;-;39,33;364,96;441,79;-;-;-;-;-;-;-;-;5113,33;-;3500;-;10800;-;-;-;-;-;-;-;-;-;-;-;-;25283,52
350150 Alvinlândia;-;-;-;-;-;-;-;25,18;-;-;-;-;90,1;-;-;-;-;531,32;-;-;402,6;-;-;-;-;-;-;-;-;-;-;-;-;-;62,96;-;-;-;-;1700;-;25,18;236,63;286,45;-;-;-;-;-;-;-;-;3273,83;-;2450;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;14484,25
350160 Americana;-;4676,05;-;-;-;30;-;1914,51;-;2029,2;2560;-;3073,01;-;-;824;-;34577,1;5021,31;-;26324,51;-;1234,28;-;-;-;866608,42;-;-;-;-;-;-;-;4179,31;-;4000;-;-;-;-;2006,07;15623,15;18912,23;-;-;16445,42;68;-;-;-;-;217324,25;-;3500;-;20800;1390;60;358,94;-;-;355;-;-;8119,73;170607,99;422;109,2;1433153,68
350170 Américo Brasiliense;-;-;-;-;-;-;-;278,64;-;-;-;-;296,68;-;-;-;-;3909,4;-;-;4237,61;-;-;-;-;-;-;-;-;-;-;-;-;-;696,6;-;-;-;-;-;-;278,64;2573,23;3114,97;-;-;-;-;-;-;-;-;36223,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51609,19
350180 Américo de Campos;-;-;-;-;-;-;-;46,64;-;-;-;-;111,4;-;-;-;-;742,93;-;-;769,31;-;-;-;-;-;-;-;-;-;-;-;-;-;116,6;-;-;-;-;-;-;46,64;443,02;536,28;-;-;-;-;-;-;-;-;6063,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8876,24
350190 Amparo;-;24290,9;-;-;-;-;-;553,53;-;39,9;880;-;1161,35;-;-;431;-;8143,25;-;-;8712,55;30000;292,64;-;-;-;549090,8;-;-;-;25000;-;-;-;1383,81;-;-;-;-;23800;-;664,23;5172,2;6261,08;-;-;5444,42;-;-;-;-;-;71958,25;-;22400;8800;91800;1010;790;-;-;-;-;-;-;2605,91;-;-;226,8;890912,62
350200 Analândia;-;-;-;-;-;-;-;-;-;-;-;-;90,1;-;-;-;-;499,25;-;-;516,31;-;-;-;-;-;-;-;-;-;-;-;-;-;81,96;-;-;-;-;-;-;-;306,38;370,88;-;-;-;-;-;-;-;-;4261,83;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6126,71
350210 Andradina;-;-;-;-;-;-;-;474,04;-;-;-;-;999,37;-;-;-;-;10218,37;2068,54;-;7701,24;-;-;-;-;-;-;-;-;-;-;-;-;-;1185,1;-;-;-;-;-;-;568,85;4478,7;5421,58;-;-;-;-;-;-;-;-;62062;-;2800;-;8100;-;-;-;-;-;-;-;-;-;-;-;-;106077,79
350220 Angatuba;-;-;-;-;-;-;-;-;-;-;-;-;301,28;-;-;-;-;2631,33;-;-;2741,34;-;-;-;-;-;-;-;-;-;-;-;-;-;429,15;-;-;-;-;1700;-;-;1612,07;1951,45;-;-;-;-;-;-;-;-;22315,58;-;3150;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;42232,2
