cod_ibge;municipio;censo2000;censo2010;censo2022;tc2000_2010;tc2010_2022
3520004;Igaraçu do Tietê;22614;23362;23106;0,33;-0,09
3520103;Igarapava;25925;27952;26212;0,76;-0,53
3520202;Igaratá;8292;8831;10605;0,63;1,54
3520301;Iguape;27427;28841;29115;0,5;0,08
3520400;Ilhabela;20836;28196;34934;3,07;1,8
3520426;Ilha Comprida;6704;9025;13419;3,02;3,36
3520442;Ilha Solteira;23996;25064;25549;0,44;0,16
3520509;Indaiatuba;147050;201619;255739;3,21;2
3520608;Indiana;4932;4825;5090;-0,22;0,45
3520707;Indiaporã;4058;3903;4035;-0,39;0,28
3520806;Inúbia Paulista;3318;3630;3615;0,9;-0,03
3520905;Ipaussu;12553;13663;13712;0,85;0,03
3521002;Iperó;18384;28300;36459;4,41;2,13
3521101;Ipeúna;4340;6016;6831;3,32;1,06
3521150;Ipiguá;3476;4463;6761;2,53;3,52
3521200;Iporanga;4562;4299;4046;-0,59;-0,5
3521309;Ipuã;11870;14148;14454;1,77;0,18
3521408;Iracemápolis;15555;20029;21967;2,56;0,77
3521507;Irapuã;6658;7275;6867;0,89;-0,48
3521606;Irapuru;7457;7789;5938;0,44;-2,24
3521705;Itaberá;18911;17858;17983;-0,57;0,06
3521804;Itaí;21039;24008;25180;1,33;0,4
3521903;Itajobi;14230;14556;16989;0,23;1,3
3522000;Itaju;2638;3246;3618;2,1;0,91
3522109;Itanhaém;71995;87057;112476;1,92;2,16
3522158;Itaoca;3226;3228;3421;0,01;0,49
3522208;Itapecerica da Serra;129685;152614;158522;1,64;0,32
3522307;Itapetininga;125559;144377;157790;1,41;0,74
3522406;Itapeva;82866;87753;89728;0,57;0,19
3522505;Itapevi;162433;200769;232513;2,14;1,23
3522604;Itapira;63377;68537;72022;0,79;0,41
3522653;Itapirapuã Paulista;3577;3880;4306;0,82;0,87
3522703;Itápolis;37750;40051;39493;0,59;-0,12
3522802;Itaporanga;14354;14549;14085;0,14;-0,27
3522901;Itapuí;10371;12173;13659;1,61;0,96
3523008;Itapura;3838;4357;3979;1,28;-0,75
3523107;Itaquaquecetuba;272942;321770;369275;1,66;1,15
3523206;Itararé;46554;47934;44438;0,29;-0,63
3523305;Itariri;13613;15471;15528;1,29;0,03
3523404;Itatiba;81197;101471;122424;2,25;1,58
3523503;Itatinga;15446;18052;19070;1,57;0,46
3523602;Itirapina;12836;15524;16148;1,92;0,33
3523701;Itirapuã;5412;5914;5779;0,89;-0,19
3523800;Itobi;7466;7546;8046;0,11;0,54
3523909;Itu;135366;154147;168240;1,31;0,73
3524006;Itupeva;26166;44859;70616;5,54;3,85
3524105;Ituverava;36268;38695;37571;0,65;-0,25
3524204;Jaborandi;6424;6592;6221;0,26;-0,48
3524303;Jaboticabal;67408;71662;71821;0,61;0,02
3524402;Jacareí;191291;211214;240275;1;1,08
3524501;Jaci;4117;5657;7613;3,23;2,51
3524600;Jacupiranga;17041;17208;16116;0,1;-0,54
3524709;Jaguariúna;29597;44311;59347;4,12;2,46
3524808;Jales;46186;47012;48776;0,18;0,31
3524907;Jambeiro;3992;5349;6397;2,97;1,5
3525003;Jandira;91807;108344;118045;1,67;0,72
3525102;Jardinópolis;30729;37661;45282;2,06;1,55
3525201;Jarinu;17041;23847;37535;3,42;3,85
3525300;Jaú;112104;131040;133497;1,57;0,15
3525409;Jeriquara;3280;3160;3863;-0,37;1,69
3525508;Joanópolis;10409;11768;12815;1,23;0,71
3525607;João Ramalho;3842;4150;4371;0,77;0,43
3525706;José Bonifácio;28714;32763;36633;1,33;0,93
3525805;Júlio Mesquita;4166;4430;4254;0,62;-0,34
3525854;Jumirim;2196;2798;3059;2,45;0,75
3525904;Jundiaí;323397;370126;443116;1,36;1,51
3526001;Junqueirópolis;17005;18726;20448;0,97;0,74
3526100;Juquiá;20516;19246;17154;-0,64;-0,95
3526209;Juquitiba;26459;28737;27404;0,83;-0,4
3526308;Lagoinha;4957;4841;5083;-0,24;0,41
3526407;Laranjal Paulista;22145;25251;26261;1,32;0,33
3526506;Lavínia;5131;8779;9689;5,52;0,83
3526605;Lavrinhas;6008;6590;7171;0,93;0,71
3526704;Leme;80757;91756;98145;1,29;0,56
3526803;Lençóis Paulista;55042;61428;66505;1,1;0,66
3526902;Limeira;249046;276022;291869;1,03;0,47
3527009;Lindóia;5331;6712;7010;2,33;0,36
3527108;Lins;65952;71432;74779;0,8;0,38
3527207;Lorena;77990;82537;84855;0,57;0,23
3527256;Lourdes;2007;2128;1950;0,59;-0,73
3527306;Louveira;23903;37125;51833;4,5;2,82
