cod_ibge;municipio;censo2000;censo2010;censo2022;tc2000_2010;tc2010_2022
3551009;São Vicente;303551;332445;329844;0,91;-0,07
3551108;Sarapuí;7805;9027;10369;1,47;1,16
3551207;Sarutaiá;3739;3622;3704;-0,32;0,19
3551306;Sebastianópolis do Sul;2546;3031;3130;1,76;0,27
3551405;Serra Azul;7446;11256;12746;4,22;1,04
3551504;Serrana;32603;38878;43909;1,78;1,02
3551603;Serra Negra;23851;26387;29894;1,02;1,05
3551702;Sertãozinho;94664;110074;126887;1,52;1,19
3551801;Sete Barras;13714;13005;12730;-0,53;-0,18
3551900;Severínia;13605;15501;14576;1,31;-0,51
3552007;Silveiras;5378;5792;6186;0,74;0,55
3552106;Socorro;32704;36686;40122;1,16;0,75
3552205;Sorocaba;493468;586625;723574;1,74;1,76
3552304;Sud Mennucci;7365;7435;7355;0,09;-0,09
3552403;Sumaré;196723;241311;279546;2,06;1,23
3552502;Suzano;228690;262480;307364;1,39;1,32
3552551;Suzanápolis;2790;3383;3365;1,95;-0,04
3552601;Tabapuã;10493;11363;11323;0,8;-0,03
3552700;Tabatinga;12990;14686;14769;1,23;0,05
3552809;Taboão da Serra;197644;244528;273542;2,15;0,94
3552908;Taciba;5221;5714;6260;0,91;0,76
3553005;Taguaí;7468;10828;12669;3,78;1,32
3553104;Taiaçu;5619;5894;5677;0,48;-0,31
3553203;Taiúva;5506;5447;6548;-0,11;1,55
3553302;Tambaú;22258;22406;21435;0,07;-0,37
3553401;Tanabi;22587;24055;25265;0,63;0,41
3553500;Tapiraí;8570;8012;7996;-0,67;-0,02
3553609;Tapiratiba;12942;12737;11816;-0,16;-0,62
3553658;Taquaral;2722;2726;2619;0,01;-0,33
3553708;Taquaritinga;52065;53988;52260;0,36;-0,27
3553807;Taquarituba;21982;22291;24350;0,14;0,74
3553856;Taquarivaí;4473;5151;6876;1,42;2,44
3553906;Tarabai;5786;6607;6536;1,34;-0,09
3553955;Tarumã;10743;12885;14882;1,83;1,21
3554003;Tatuí;93430;107326;123942;1,4;1,21
3554102;Taubaté;244165;278686;310739;1,33;0,91
3554201;Tejupá;5336;4809;4127;-1,03;-1,27
3554300;Teodoro Sampaio;20003;21386;22173;0,67;0,3
3554409;Terra Roxa;7752;8505;7904;0,93;-0,61
3554508;Tietê;31710;36835;37663;1,51;0,19
3554607;Timburi;2731;2646;2464;-0,32;-0,59
3554656;Torre de Pedra;2144;2254;2046;0,5;-0,8
3554706;Torrinha;8837;9330;9335;0,54;0
3554755;Trabiju;1380;1544;1682;1,13;0,72
3554805;Tremembé;34823;40984;51173;1,64;1,87
3554904;Três Fronteiras;5159;5427;6804;0,51;1,9
3554953;Tuiuti;4956;5930;6778;1,81;1,12
3555000;Tupã;63333;63476;63928;0,02;0,06
3555109;Tupi Paulista;13286;14269;15854;0,72;0,88
3555208;Turiúba;1895;1930;1818;0,18;-0,5
3555307;Turmalina;2366;1978;1669;-1,78;-1,41
3555356;Ubarana;4220;5289;5365;2,28;0,12
3555406;Ubatuba;66861;78801;92980;1,66;1,39
3555505;Ubirajara;4156;4427;5132;0,63;1,24
3555604;Uchoa;9035;9471;10394;0,47;0,78
3555703;União Paulista;1354;1599;1603;1,68;0,02
3555802;Urânia;8825;8836;8833;0,01;0
3555901;Uru;1404;1251;1387;-1,15;0,86
3556008;Urupês;11833;12714;13744;0,72;0,65
3556107;Valentim Gentil;8605;11036;14098;2,52;2,06
3556206;Valinhos;82973;106793;126325;2,56;1,41
3556305;Valparaíso;18574;22576;24241;1,97;0,59
3556354;Vargem;6975;8801;10512;2,35;1,49
3556404;Vargem Grande do Sul;36302;39266;40133;0,79;0,18
3556453;Vargem Grande Paulista;32683;42997;50333;2,78;1,32
3556503;Várzea Paulista;92800;107089;115771;1,44;0,65
3556602;Vera Cruz;11085;10769;10176;-0,29;-0,47
3556701;Vinhedo;47215;63611;76663;3,03;1,57
3556800;Viradouro;15962;17297;17414;0,81;0,06
3556909;Vista Alegre do Alto;4754;6886;8109;3,77;1,37
3556958;Vitória Brasil;1675;1737;1794;0,36;0,27
3557006;Votorantim;95925;108809;127923;1,27;1,36
3557105;Votuporanga;75641;84692;96634;1,14;1,11
3557154;Zacarias;1947;2335;2692;1,83;1,19
3557204;Chavantes;12194;12114;12211;-0,07;0,07
3557303;Estiva Gerbi;8856;10044;11295;1,27;0,98
