Município;Internações
355160 SERRA NEGRA;4
355200 SILVEIRAS;1
355210 SOCORRO;1
355220 SOROCABA;68
355230 SUD MENNUCCI;1
355240 SUMARE;6
355250 SUZANO;3
355260 TABAPUA;4
355280 TABOAO DA SERRA;11
355300 TAGUAI;1
355340 TANABI;5
355370 TAQUARITINGA;7
355400 TATUI;4
355410 TAUBATE;8
355430 TEODORO SAMPAIO;6
355440 TERRA ROXA;4
355450 TIETE;7
355500 TUPA;9
355540 UBATUBA;3
355580 URANIA;1
355600 URUPES;6
355620 VALINHOS;4
355630 VALPARAISO;2
355700 VOTORANTIM;2
355710 VOTUPORANGA;9
355720 CHAVANTES;24
;
;
;
 ;
;
;
 ;
