Município;Internações
351760 GUAPIARA;9
351770 GUARA;17
351780 GUARACAI;4
351790 GUARACI;8
351800 GUARANI D'OESTE;2
351810 GUARANTA;1
351820 GUARARAPES;13
351830 GUARAREMA;19
351840 GUARATINGUETA;86
351850 GUAREI;4
351860 GUARIBA;23
351870 GUARUJA;111
351880 GUARULHOS;594
351885 GUATAPARA;6
351890 GUZOLANDIA;2
351900 HERCULANDIA;18
351905 HOLAMBRA;16
351907 HORTOLANDIA;91
351910 IACANGA;12
351920 IACRI;4
351925 IARAS;1
351930 IBATE;29
351940 IBIRA;9
351950 IBIRAREMA;2
351960 IBITINGA;58
351970 IBIUNA;24
351980 ICEM;16
351990 IEPE;4
352000 IGARACU DO TIETE;12
352010 IGARAPAVA;20
352020 IGARATA;9
352030 IGUAPE;13
352040 ILHABELA;7
352042 ILHA COMPRIDA;16
352044 ILHA SOLTEIRA;18
352050 INDAIATUBA;174
352060 INDIANA;4
352070 INDIAPORA;7
352080 INUBIA PAULISTA;3
352090 IPAUSSU;14
352100 IPERO;17
352110 IPEUNA;7
352115 IPIGUA;6
352120 IPORANGA;2
352130 IPUA;3
352140 IRACEMAPOLIS;10
352150 IRAPUA;8
352160 IRAPURU;4
352170 ITABERA;33
352180 ITAI;10
352190 ITAJOBI;17
352210 ITANHAEM;63
352215 ITAOCA;1
352220 ITAPECERICA DA SERRA;113
352230 ITAPETININGA;36
352240 ITAPEVA;76
352250 ITAPEVI;100
352260 ITAPIRA;43
352265 ITAPIRAPUA PAULISTA;1
352270 ITAPOLIS;52
352280 ITAPORANGA;11
352290 ITAPUI;7
352300 ITAPURA;1
352310 ITAQUAQUECETUBA;203
352320 ITARARE;13
352330 ITARIRI;10
352340 ITATIBA;54
352350 ITATINGA;17
352360 ITIRAPINA;5
352370 ITIRAPUA;7
352380 ITOBI;5
352390 ITU;100
352400 ITUPEVA;41
352410 ITUVERAVA;21
352420 JABORANDI;10
352430 JABOTICABAL;45
352440 JACAREI;148
352450 JACI;5
352460 JACUPIRANGA;8
352470 JAGUARIUNA;21
352480 JALES;53
352490 JAMBEIRO;7
352500 JANDIRA;37
352510 JARDINOPOLIS;23
352520 JARINU;25
352530 JAU;109
352540 JERIQUARA;1
352550 JOANOPOLIS;7
352560 JOAO RAMALHO;4
352570 JOSE BONIFACIO;31
352580 JULIO MESQUITA;3
352585 JUMIRIM;1
352590 JUNDIAI;238
352600 JUNQUEIROPOLIS;19
352610 JUQUIA;16
352620 JUQUITIBA;28
352630 LAGOINHA;6
352640 LARANJAL PAULISTA;19
352650 LAVINIA;6
352660 LAVRINHAS;11
352670 LEME;57
352680 LENCOIS PAULISTA;54
352690 LIMEIRA;99
352700 LINDOIA;11
352710 LINS;55
352720 LORENA;63
352725 LOURDES;1
352730 LOUVEIRA;42
352740 LUCELIA;11
352750 LUCIANOPOLIS;4
352760 LUIS ANTONIO;16
352770 LUIZIANIA;1
352780 LUPERCIO;3
352790 LUTECIA;1
352800 MACATUBA;17
352810 MACAUBAL;4
352820 MACEDONIA;6
352830 MAGDA;2
352840 MAIRINQUE;17
352850 MAIRIPORA;44
352860 MANDURI;3
352870 MARABA PAULISTA;2
352880 MARACAI;9
352885 MARAPOAMA;5
352890 MARIAPOLIS;6
352900 MARILIA;142
352910 MARINOPOLIS;5
352920 MARTINOPOLIS;9
352930 MATAO;55
352940 MAUA;193
352950 MENDONCA;7
352960 MERIDIANO;8
352965 MESOPOLIS;1
352970 MIGUELOPOLIS;20
352980 MINEIROS DO TIETE;11
352990 MIRACATU;11
353000 MIRA ESTRELA;1
353010 MIRANDOPOLIS;18
353020 MIRANTE DO PARANAPANEMA;8
353030 MIRASSOL;48
353040 MIRASSOLANDIA;5
353050 MOCOCA;40
353060 MOGI DAS CRUZES;247
353070 MOGI GUACU;109
353080 MOGI MIRIM;45
353090 MOMBUCA;1
353100 MONCOES;2
353110 MONGAGUA;28
353120 MONTE ALEGRE DO SUL;3
353130 MONTE ALTO;49
353140 MONTE APRAZIVEL;22
353150 MONTE AZUL PAULISTA;11
353160 MONTE CASTELO;9
353170 MONTEIRO LOBATO;3
353180 MONTE MOR;25
353190 MORRO AGUDO;21
353200 MORUNGABA;19
353205 MOTUCA;5
353210 MURUTINGA DO SUL;3
353220 NARANDIBA;4
353230 NATIVIDADE DA SERRA;6
353240 NAZARE PAULISTA;6
353250 NEVES PAULISTA;8
353260 NHANDEARA;7
353270 NIPOA;6
353280 NOVA ALIANCA;7
353282 NOVA CAMPINA;4
353284 NOVA CANAA PAULISTA;3
353286 NOVA CASTILHO;6
353290 NOVA EUROPA;8
353300 NOVA GRANADA;24
353310 NOVA GUATAPORANGA;1
353320 NOVA INDEPENDENCIA;4
353325 NOVAIS;4
353330 NOVA LUZITANIA;2
353340 NOVA ODESSA;20
353350 NOVO HORIZONTE;39
353360 NUPORANGA;7
353370 OCAUCU;5
353380 OLEO;5
353390 OLIMPIA;40
353400 ONDA VERDE;7
353410 ORIENTE;5
353420 ORINDIUVA;4
353430 ORLANDIA;28
353440 OSASCO;347
353450 OSCAR BRESSANE;2
353460 OSVALDO CRUZ;37
353470 OURINHOS;79
353475 OUROESTE;7
353480 OURO VERDE;6
353490 PACAEMBU;5
353500 PALESTINA;10
353510 PALMARES PAULISTA;13
353520 PALMEIRA D'OESTE;11
353530 PALMITAL;26
353540 PANORAMA;14
353550 PARAGUACU PAULISTA;38
353560 PARAIBUNA;16
353570 PARAISO;4
353580 PARANAPANEMA;15
353590 PARANAPUA;3
353600 PARAPUA;2
353620 PARIQUERA-ACU;16
353625 PARISI;2
353630 PATROCINIO PAULISTA;7
353640 PAULICEIA;5
353650 PAULINIA;15
353657 PAULISTANIA;4
353660 PAULO DE FARIA;7
353670 PEDERNEIRAS;43
353680 PEDRA BELA;9
353700 PEDREGULHO;10
353710 PEDREIRA;30
353715 PEDRINHAS PAULISTA;6
353720 PEDRO DE TOLEDO;7
353730 PENAPOLIS;31
353740 PEREIRA BARRETO;16
353750 PEREIRAS;2
353760 PERUIBE;20
353770 PIACATU;3
353780 PIEDADE;10
353790 PILAR DO SUL;15
353800 PINDAMONHANGABA;80
353810 PINDORAMA;15
353820 PINHALZINHO;19
353830 PIQUEROBI;1
353850 PIQUETE;8
353860 PIRACAIA;13
353870 PIRACICABA;224
353880 PIRAJU;15
353890 PIRAJUI;11
353900 PIRANGI;5
353910 PIRAPORA DO BOM JESUS;15
353920 PIRAPOZINHO;17
353930 PIRASSUNUNGA;41
353940 PIRATININGA;16
353950 PITANGUEIRAS;22
353960 PLANALTO;4
353970 PLATINA;5
353980 POA;42
354000 POMPEIA;9
354010 PONGAI;7
354020 PONTAL;49
354025 PONTALINDA;4
354030 PONTES GESTAL;4
354040 POPULINA;4
354050 PORANGABA;10
354060 PORTO FELIZ;55
354070 PORTO FERREIRA;34
354075 POTIM;11
354080 POTIRENDABA;12
354090 PRADOPOLIS;15
354100 PRAIA GRANDE;47
354105 PRATANIA;8
354110 PRESIDENTE ALVES;5
354120 PRESIDENTE BERNARDES;10
354130 PRESIDENTE EPITACIO;70
354140 PRESIDENTE PRUDENTE;142
354150 PRESIDENTE VENCESLAU;42
354160 PROMISSAO;29
354165 QUADRA;2
354170 QUATA;7
354190 QUELUZ;1
354200 QUINTANA;8
354210 RAFARD;4
354220 RANCHARIA;32
354230 REDENCAO DA SERRA;4
354240 REGENTE FEIJO;9
354250 REGINOPOLIS;3
354260 REGISTRO;27
354270 RESTINGA;9
354280 RIBEIRA;2
354290 RIBEIRAO BONITO;3
354300 RIBEIRAO BRANCO;9
354310 RIBEIRAO CORRENTE;3
354320 RIBEIRAO DO SUL;9
354323 RIBEIRAO DOS INDIOS;5
354325 RIBEIRAO GRANDE;2
354330 RIBEIRAO PIRES;72
354340 RIBEIRAO PRETO;361
354350 RIVERSUL;6
354360 RIFAINA;1
354370 RINCAO;12
354380 RINOPOLIS;4
354390 RIO CLARO;99
354400 RIO DAS PEDRAS;22
354410 RIO GRANDE DA SERRA;9
354420 RIOLANDIA;6
354425 ROSANA;34
354430 ROSEIRA;7
354450 RUBINEIA;4
354460 SABINO;4
354470 SAGRES;2
354480 SALES;4
354490 SALES OLIVEIRA;9
354500 SALESOPOLIS;21
354510 SALMOURAO;5
354515 SALTINHO;7
354520 SALTO;67
354530 SALTO DE PIRAPORA;30
354540 SALTO GRANDE;12
354550 SANDOVALINA;4
354560 SANTA ADELIA;13
354570 SANTA ALBERTINA;9
354580 SANTA BARBARA D'OESTE;72
354600 SANTA BRANCA;10
354610 SANTA CLARA D'OESTE;4
354625 SANTA CRUZ DA ESPERANCA;3
354630 SANTA CRUZ DAS PALMEIRAS;8
354640 SANTA CRUZ DO RIO PARDO;43
354650 SANTA ERNESTINA;1
354660 SANTA FE DO SUL;34
354670 SANTA GERTRUDES;12
354680 SANTA ISABEL;35
354690 SANTA LUCIA;2
354700 SANTA MARIA DA SERRA;2
354710 SANTA MERCEDES;4
354720 SANTANA DA PONTE PENSA;3
354730 SANTANA DE PARNAIBA;93
354740 SANTA RITA D'OESTE;6
354750 SANTA RITA DO PASSA QUATRO;23
354760 SANTA ROSA DE VITERBO;19
354765 SANTA SALETE;3
