Município;Internações
354940 SAO JOAQUIM DA BARRA;42
354970 SAO JOSE DO RIO PARDO;51
354980 SAO JOSE DO RIO PRETO;793
354990 SAO JOSE DOS CAMPOS;644
355000 SAO LUIS DO PARAITINGA;1
355010 SAO MANUEL;6
355020 SAO MIGUEL ARCANJO;17
355030 SAO PAULO;6383
355040 SAO PEDRO;17
355060 SAO ROQUE;30
355070 SAO SEBASTIAO;25
355080 SAO SEBASTIAO DA GRAMA;5
355090 SAO SIMAO;6
355100 SAO VICENTE;118
355150 SERRANA;78
355160 SERRA NEGRA;14
355210 SOCORRO;36
355220 SOROCABA;674
355230 SUD MENNUCCI;4
355240 SUMARE;70
355250 SUZANO;13
355260 TABAPUA;2
355270 TABATINGA;7
355280 TABOAO DA SERRA;219
355300 TAGUAI;2
355340 TANABI;10
355360 TAPIRATIBA;2
355370 TAQUARITINGA;32
355400 TATUI;33
355410 TAUBATE;245
355430 TEODORO SAMPAIO;19
355450 TIETE;23
355500 TUPA;82
355510 TUPI PAULISTA;9
355540 UBATUBA;25
355600 URUPES;1
355620 VALINHOS;57
355630 VALPARAISO;4
355680 VIRADOURO;1
355700 VOTORANTIM;36
355710 VOTUPORANGA;117
355720 CHAVANTES;17
;
;
;
 ;
;
;
 ;
